,name,link,salary_min,salary_max,salary_currency,service_link
0,"Маркетолог (digital marketing, SEO,SMM)",https://hh.ru/vacancy/51001941?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,,,,https://hh.ru
1,Junior маркетолог/ Ассистент по маркетингу/ Начинающий маркетолог,https://hh.ru/vacancy/51193306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,50000,,руб.,https://hh.ru
2,Аналитик-маркетолог,https://hh.ru/vacancy/50912809?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,120000,,руб.,https://hh.ru
3,Маркетолог (с функциями таргетолога),https://hh.ru/vacancy/51847241?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,120000,,руб.,https://hh.ru
4,SMM-маркетолог,https://hh.ru/vacancy/51062369?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,,,,https://hh.ru
5,Маркетолог,https://hh.ru/vacancy/52155383?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,40000,,руб.,https://hh.ru
6,Руководитель отдела маркетинга,https://hh.ru/vacancy/52063148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,100000,150000,руб.,https://hh.ru
7,Специалист по маркетингу,https://hh.ru/vacancy/51485367?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,90000,120000,руб.,https://hh.ru
8,Маркетолог,https://hh.ru/vacancy/52223298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,100000,150000,руб.,https://hh.ru
9,Менеджер по маркетингу и рекламе,https://hh.ru/vacancy/51865156?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,35000,40000,руб.,https://hh.ru
10,Диджитал маркетолог / Менеджер по маркетингу (Диджитал маркетинг / Digital marketing),https://hh.ru/vacancy/51937129?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,120000,150000,руб.,https://hh.ru
11,Контекстолог / Таргетолог / Специалист по рекламе / Маркетолог (junior),https://hh.ru/vacancy/52244830?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,40000,70000,руб.,https://hh.ru
12,Маркетолог,https://hh.ru/vacancy/49317313?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,70000,,руб.,https://hh.ru
13,Интернет-маркетолог,https://hh.ru/vacancy/52218612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,80000,,руб.,https://hh.ru
14,Маркетолог,https://hh.ru/vacancy/52114164?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,50000,65000,руб.,https://hh.ru
15,Руководитель отдела маркетинга и рекламы,https://hh.ru/vacancy/52138993?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,90000,150000,руб.,https://hh.ru
16,Интернет - маркетолог / менеджер по рекламе,https://hh.ru/vacancy/51090506?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,,300000,руб.,https://hh.ru
17,CRM-маркетолог,https://hh.ru/vacancy/51983810?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,150000,,руб.,https://hh.ru
18,Маркетолог,https://hh.ru/vacancy/52223268?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,50000,,руб.,https://hh.ru
19,Интернет-маркетолог,https://hh.ru/vacancy/50579993?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,80000,,руб.,https://hh.ru
